Park Name,count,Nativeness
Acadia National Park,1189,Native
Acadia National Park,485,Not Native
Arches National Park,939,Native
Arches National Park,108,Not Native
Badlands National Park,779,Native
Badlands National Park,99,Not Native
Big Bend National Park,2108,Native
Big Bend National Park,112,Not Native
Biscayne National Park,751,Native
Biscayne National Park,241,Not Native
Black Canyon of the Gunnison National Park,975,Native
Black Canyon of the Gunnison National Park,130,Not Native
Bryce Canyon National Park,1186,Native
Bryce Canyon National Park,98,Not Native
Canyonlands National Park,1103,Native
Canyonlands National Park,120,Not Native
Capitol Reef National Park,1406,Native
Capitol Reef National Park,158,Not Native
Carlsbad Caverns National Park,1398,Native
Carlsbad Caverns National Park,73,Not Native
Channel Islands National Park,1631,Native
Channel Islands National Park,233,Not Native
Congaree National Park,1156,Native
Congaree National Park,85,Not Native
Crater Lake National Park,1350,Native
Crater Lake National Park,69,Not Native
Cuyahoga Valley National Park,1598,Native
Cuyahoga Valley National Park,290,Not Native
Death Valley National Park,1592,Native
Death Valley National Park,127,Not Native
Denali National Park and Preserve,1030,Native
Denali National Park and Preserve,22,Not Native
Dry Tortugas National Park,363,Native
Dry Tortugas National Park,196,Not Native
Everglades National Park,1463,Native
Everglades National Park,495,Not Native
Gates Of The Arctic National Park and Preserve,870,Native
Glacier Bay National Park and Preserve,1343,Native
Glacier Bay National Park and Preserve,71,Not Native
Glacier National Park,2180,Native
Glacier National Park,159,Not Native
Grand Canyon National Park,2343,Native
Grand Canyon National Park,225,Not Native
Grand Teton National Park,1582,Native
Grand Teton National Park,167,Not Native
Great Basin National Park,1083,Native
Great Basin National Park,85,Not Native
Great Sand Dunes National Park and Preserve,860,Native
Great Sand Dunes National Park and Preserve,44,Not Native
Great Smoky Mountains National Park,2632,Native
Great Smoky Mountains National Park,456,Not Native
Guadalupe Mountains National Park,1590,Native
Guadalupe Mountains National Park,51,Not Native
Haleakala National Park,1342,Native
Haleakala National Park,975,Not Native
Hawaii Volcanoes National Park,1842,Native
Hawaii Volcanoes National Park,1413,Not Native
Hot Springs National Park,1155,Native
Hot Springs National Park,263,Not Native
Isle Royale National Park,1189,Native
Isle Royale National Park,199,Not Native
Joshua Tree National Park,1238,Native
Joshua Tree National Park,64,Not Native
Katmai National Park and Preserve,995,Native
Katmai National Park and Preserve,18,Not Native
Kenai Fjords National Park,861,Native
Kenai Fjords National Park,33,Not Native
Kobuk Valley National Park,662,Native
Lake Clark National Park and Preserve,1395,Native
Lake Clark National Park and Preserve,66,Not Native
Lassen Volcanic National Park,1207,Native
Lassen Volcanic National Park,89,Not Native
Mammoth Cave National Park,1816,Native
Mammoth Cave National Park,234,Not Native
Mesa Verde National Park,1101,Native
Mesa Verde National Park,130,Not Native
Mount Rainier National Park,1129,Native
Mount Rainier National Park,170,Not Native
North Cascades National Park,2102,Native
North Cascades National Park,249,Not Native
Olympic National Park,1618,Native
Olympic National Park,270,Not Native
Petrified Forest National Park,789,Native
Petrified Forest National Park,59,Not Native
Pinnacles National Park,871,Native
Pinnacles National Park,144,Not Native
Redwood National Park,1563,Native
Redwood National Park,368,Not Native
Rocky Mountain National Park,1570,Native
Rocky Mountain National Park,108,Not Native
Saguaro National Park,1555,Native
Saguaro National Park,114,Not Native
Sequoia and Kings Canyon National Parks,1731,Native
Sequoia and Kings Canyon National Parks,261,Not Native
Shenandoah National Park,1475,Native
Shenandoah National Park,377,Not Native
Theodore Roosevelt National Park,858,Native
Theodore Roosevelt National Park,97,Not Native
Voyageurs National Park,1270,Native
Voyageurs National Park,161,Not Native
Wind Cave National Park,922,Native
Wind Cave National Park,113,Not Native
Wrangell - St Elias National Park and Preserve,1708,Native
Wrangell - St Elias National Park and Preserve,81,Not Native
Yellowstone National Park,2053,Native
Yellowstone National Park,230,Not Native
Yosemite National Park,1842,Native
Yosemite National Park,207,Not Native
Zion National Park,1591,Native
Zion National Park,203,Not Native
